### date-appended=True date-prepended=False real-course=True
### prompt=shipped temperature=0.0 app-body=True trials=10 course=VVH2O
### max_tokens=512 (read from mac-app/QuartzTeachers/Models/Assist/AssistModelClient.swift)
### em-dashes in the shipped literal, folded for the hyphen form: 6
### deploy-at-a-time guard agrees with 144 contract rows
### hide-is-unpublish guard agrees with 33 contract rows
### intercepted in code before the model (6 of 29 probes): card: publish tomorrow -> publish_class_on, card: unpublish by name -> unpublish_pages, card: check the section -> check_section, card: rebuild preview -> rebuild_preview, card: undo -> undo_last_change, card: deploy now -> deploy_section
probe                          chose                    ok    ms     arguments
----------------------------------------------------------------------------------------------------------------------
card: publish by name          publish_pages            OK    5387   {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: publish by name          publish_pages            OK    822    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: publish by name          publish_pages            OK    879    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: publish by name          publish_pages            OK    761    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: publish by name          publish_pages            OK    786    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: publish by name          publish_pages            OK    738    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: publish by name          publish_pages            OK    772    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: publish by name          publish_pages            OK    732    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: publish by name          publish_pages            OK    769    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: publish by name          publish_pages            OK    845    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: publish tomorrow         publish_class_on         OK    909    {"course": "VVH2O", "date": "2026-09-26", "section
card: publish tomorrow         publish_class_on         OK    831    {"course": "VVH2O", "date": "2026-09-26", "section
card: publish tomorrow         publish_class_on         OK    820    {"course": "VVH2O", "date": "2026-09-26", "section
card: publish tomorrow         publish_class_on         OK    884    {"course": "VVH2O", "date": "2026-09-26", "section
card: publish tomorrow         publish_class_on         OK    959    {"course": "VVH2O", "date": "2026-09-26", "section
card: publish tomorrow         publish_class_on         OK    941    {"course": "VVH2O", "date": "2026-09-26", "section
card: publish tomorrow         publish_class_on         OK    886    {"course": "VVH2O", "date": "2026-09-26", "section
card: publish tomorrow         publish_class_on         OK    894    {"course": "VVH2O", "date": "2026-09-26", "section
card: publish tomorrow         publish_class_on         OK    991    {"course": "VVH2O", "date": "2026-09-26", "section
card: publish tomorrow         publish_class_on         OK    919    {"course": "VVH2O", "date": "2026-09-26", "section
card: unpublish by name        unpublish_pages          OK    970    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: unpublish by name        unpublish_pages          OK    765    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: unpublish by name        unpublish_pages          OK    738    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: unpublish by name        unpublish_pages          OK    727    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: unpublish by name        unpublish_pages          OK    760    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: unpublish by name        unpublish_pages          OK    768    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: unpublish by name        unpublish_pages          OK    748    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: unpublish by name        unpublish_pages          OK    762    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: unpublish by name        unpublish_pages          OK    763    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: unpublish by name        unpublish_pages          OK    745    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: unpublish, mistake       unpublish_pages          OK    886    {"course": "VVH2O", "section": 1, "pages": "Unit 4
card: unpublish, mistake       unpublish_pages          OK    802    {"course": "VVH2O", "section": 1, "pages": "Unit 4
card: unpublish, mistake       unpublish_pages          OK    859    {"course": "VVH2O", "section": 1, "pages": "Unit 4
card: unpublish, mistake       unpublish_pages          OK    784    {"course": "VVH2O", "section": 1, "pages": "Unit 4
card: unpublish, mistake       unpublish_pages          OK    709    {"course": "VVH2O", "section": 1, "pages": "Unit 4
card: unpublish, mistake       unpublish_pages          OK    714    {"course": "VVH2O", "section": 1, "pages": "Unit 4
card: unpublish, mistake       unpublish_pages          OK    719    {"course": "VVH2O", "section": 1, "pages": "Unit 4
card: unpublish, mistake       unpublish_pages          OK    697    {"course": "VVH2O", "section": 1, "pages": "Unit 4
card: unpublish, mistake       unpublish_pages          OK    753    {"course": "VVH2O", "section": 1, "pages": "Unit 4
card: unpublish, mistake       unpublish_pages          OK    737    {"course": "VVH2O", "section": 1, "pages": "Unit 4
card: plan a publish           publish_pages            OK    799    {"course": "VVH2O", "section": 1, "pages": "Unit 3
card: plan a publish           publish_pages            OK    685    {"course": "VVH2O", "section": 1, "pages": "Unit 3
card: plan a publish           publish_pages            OK    695    {"course": "VVH2O", "section": 1, "pages": "Unit 3
card: plan a publish           publish_pages            OK    697    {"course": "VVH2O", "section": 1, "pages": "Unit 3
card: plan a publish           publish_pages            OK    713    {"course": "VVH2O", "section": 1, "pages": "Unit 3
card: plan a publish           publish_pages            OK    683    {"course": "VVH2O", "section": 1, "pages": "Unit 3
card: plan a publish           publish_pages            OK    694    {"course": "VVH2O", "section": 1, "pages": "Unit 3
card: plan a publish           publish_pages            OK    724    {"course": "VVH2O", "section": 1, "pages": "Unit 3
card: plan a publish           publish_pages            OK    718    {"course": "VVH2O", "section": 1, "pages": "Unit 3
card: plan a publish           publish_pages            OK    699    {"course": "VVH2O", "section": 1, "pages": "Unit 3
card: check the section        check_section            OK    641    {"course": "VVH2O", "section": 1}
card: check the section        check_section            OK    589    {"course": "VVH2O", "section": 1}
card: check the section        check_section            OK    559    {"course": "VVH2O", "section": 1}
card: check the section        check_section            OK    614    {"course": "VVH2O", "section": 1}
card: check the section        check_section            OK    655    {"course": "VVH2O", "section": 1}
card: check the section        check_section            OK    629    {"course": "VVH2O", "section": 1}
card: check the section        check_section            OK    565    {"course": "VVH2O", "section": 1}
card: check the section        check_section            OK    590    {"course": "VVH2O", "section": 1}
card: check the section        check_section            OK    539    {"course": "VVH2O", "section": 1}
