### date-appended=True date-prepended=False real-course=True
### prompt=shipped temperature=0.0 app-body=True trials=10 course=VVH2O
### max_tokens=512 (read from mac-app/QuartzTeachers/Models/Assist/AssistModelClient.swift)
### em-dashes in the shipped literal, folded for the hyphen form: 6
### deploy-at-a-time guard agrees with 144 contract rows
### hide-is-unpublish guard agrees with 33 contract rows
### intercepted in code before the model (6 of 29 probes): card: publish tomorrow -> publish_class_on, card: unpublish by name -> unpublish_pages, card: check the section -> check_section, card: rebuild preview -> rebuild_preview, card: undo -> undo_last_change, card: deploy now -> deploy_section
probe                          chose                    ok    ms     arguments
----------------------------------------------------------------------------------------------------------------------
card: publish by name          publish_pages            OK    2311   {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: publish by name          publish_pages            OK    477    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: publish by name          publish_pages            OK    527    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: publish by name          publish_pages            OK    572    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: publish by name          publish_pages            OK    610    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: publish by name          publish_pages            OK    743    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: publish by name          publish_pages            OK    634    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: publish by name          publish_pages            OK    715    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: publish by name          publish_pages            OK    773    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: publish by name          publish_pages            OK    655    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: publish tomorrow         publish_class_on         OK    558    {"course": "VVH2O", "date": "2026-09-26", "section
card: publish tomorrow         publish_class_on         OK    627    {"course": "VVH2O", "date": "2026-09-26", "section
card: publish tomorrow         publish_class_on         OK    558    {"course": "VVH2O", "date": "2026-09-26", "section
card: publish tomorrow         publish_class_on         OK    601    {"course": "VVH2O", "date": "2026-09-26", "section
card: publish tomorrow         publish_class_on         OK    615    {"course": "VVH2O", "date": "2026-09-26", "section
card: publish tomorrow         publish_class_on         OK    521    {"course": "VVH2O", "date": "2026-09-26", "section
card: publish tomorrow         publish_class_on         OK    564    {"course": "VVH2O", "date": "2026-09-26", "section
card: publish tomorrow         publish_class_on         OK    559    {"course": "VVH2O", "date": "2026-09-26", "section
card: publish tomorrow         publish_class_on         OK    575    {"course": "VVH2O", "date": "2026-09-26", "section
card: publish tomorrow         publish_class_on         OK    645    {"course": "VVH2O", "date": "2026-09-26", "section
card: unpublish by name        unpublish_pages          OK    599    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: unpublish by name        unpublish_pages          OK    594    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: unpublish by name        unpublish_pages          OK    611    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: unpublish by name        unpublish_pages          OK    778    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: unpublish by name        unpublish_pages          OK    788    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: unpublish by name        unpublish_pages          OK    955    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: unpublish by name        unpublish_pages          OK    650    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: unpublish by name        unpublish_pages          OK    608    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: unpublish by name        unpublish_pages          OK    547    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: unpublish by name        unpublish_pages          OK    537    {"course": "VVH2O", "section": 1, "pages": "Unit 2
card: unpublish, mistake       unpublish_pages          OK    742    {"course": "VVH2O", "section": 1, "pages": "Unit 4
card: unpublish, mistake       unpublish_pages          OK    571    {"course": "VVH2O", "section": 1, "pages": "Unit 4
card: unpublish, mistake       unpublish_pages          OK    536    {"course": "VVH2O", "section": 1, "pages": "Unit 4
card: unpublish, mistake       unpublish_pages          OK    585    {"course": "VVH2O", "section": 1, "pages": "Unit 4
card: unpublish, mistake       unpublish_pages          OK    576    {"course": "VVH2O", "section": 1, "pages": "Unit 4
card: unpublish, mistake       unpublish_pages          OK    599    {"course": "VVH2O", "section": 1, "pages": "Unit 4
card: unpublish, mistake       unpublish_pages          OK    774    {"course": "VVH2O", "section": 1, "pages": "Unit 4
card: unpublish, mistake       unpublish_pages          OK    692    {"course": "VVH2O", "section": 1, "pages": "Unit 4
card: unpublish, mistake       unpublish_pages          OK    832    {"course": "VVH2O", "section": 1, "pages": "Unit 4
card: unpublish, mistake       unpublish_pages          OK    924    {"course": "VVH2O", "section": 1, "pages": "Unit 4
card: plan a publish           publish_pages            OK    677    {"course": "VVH2O", "section": 1, "pages": "Unit 3
card: plan a publish           publish_pages            OK    703    {"course": "VVH2O", "section": 1, "pages": "Unit 3
card: plan a publish           publish_pages            OK    1027   {"course": "VVH2O", "section": 1, "pages": "Unit 3
card: plan a publish           publish_pages            OK    1172   {"course": "VVH2O", "section": 1, "pages": "Unit 3
card: plan a publish           publish_pages            OK    1055   {"course": "VVH2O", "section": 1, "pages": "Unit 3
card: plan a publish           publish_pages            OK    1087   {"course": "VVH2O", "section": 1, "pages": "Unit 3
card: plan a publish           publish_pages            OK    1042   {"course": "VVH2O", "section": 1, "pages": "Unit 3
card: plan a publish           publish_pages            OK    1044   {"course": "VVH2O", "section": 1, "pages": "Unit 3
card: plan a publish           publish_pages            OK    772    {"course": "VVH2O", "section": 1, "pages": "Unit 3
card: plan a publish           publish_pages            OK    912    {"course": "VVH2O", "section": 1, "pages": "Unit 3
card: check the section        check_section            OK    502    {"course": "VVH2O", "section": 1}
card: check the section        check_section            OK    689    {"course": "VVH2O", "section": 1}
card: check the section        check_section            OK    559    {"course": "VVH2O", "section": 1}
card: check the section        check_section            OK    490    {"course": "VVH2O", "section": 1}
card: check the section        check_section            OK    543    {"course": "VVH2O", "section": 1}
card: check the section        check_section            OK    377    {"course": "VVH2O", "section": 1}
card: check the section        check_section            OK    609    {"course": "VVH2O", "section": 1}
card: check the section        check_section            OK    446    {"course": "VVH2O", "section": 1}
card: check the section        check_section            OK    671    {"course": "VVH2O", "section": 1}
